,localizacao,title,url,valor
162,Belo Horizonte -  MG,Etios x 1.3 hatch AUTOMÁTICO 2020,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/etios-x-1-3-hatch-automatico-2020-783143612,R$ 51.000
163,Manaus -  AM,IPhone 8 Plus,https://am.olx.com.br/regiao-de-manaus/celulares/iphone-8-plus-804061926,R$ 2.500
164,Belém -  PA,IPhone 7vermelho 128gb,https://pa.olx.com.br/regiao-de-belem/celulares/iphone-7vermelho-128gb-804061825,R$ 1.900
165,Jundiaí -  SP,IPhone XR 64Gb - Novo de Vitrine - Somos Loja Física,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphone-xr-64gb-novo-de-vitrine-somos-loja-fisica-804061810,R$ 3.199
166,Manaus -  AM,iPhone 7 256gb,https://am.olx.com.br/regiao-de-manaus/celulares/iphone-7-256gb-804061788,R$ 2.500
167,Recife -  PE,IPhone 7 Plus - 2000$,https://pe.olx.com.br/grande-recife/celulares/iphone-7-plus-2000-804061791,R$ 2.000
168,São Paulo -  SP,IPhone 7 Plus,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphone-7-plus-804061769,R$ 2.000
169,Guarujá -  SP,IPhone XR 64gb,https://sp.olx.com.br/baixada-santista-e-litoral-sul/celulares/iphone-xr-64gb-804061755,R$ 2.999
170,Anápolis -  GO,iPhone 7 preto fosco ,https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-7-preto-fosco-804061750,R$ 1.350
171,Juiz de Fora -  MG,IPhone 7 128gb,https://mg.olx.com.br/regiao-de-juiz-de-fora/celulares/iphone-7-128gb-804061747,R$ 1.600
